label_number,label_abbrev_name,label_full_name,hemisphere
1,LH_VisCent_ExStr_1,17Networks_LH_VisCent_ExStr_1,left
2,LH_VisCent_ExStr_2,17Networks_LH_VisCent_ExStr_2,left
3,LH_VisCent_Striate_1,17Networks_LH_VisCent_Striate_1,left
4,LH_VisCent_ExStr_3,17Networks_LH_VisCent_ExStr_3,left
5,LH_VisCent_ExStr_4,17Networks_LH_VisCent_ExStr_4,left
6,LH_VisCent_ExStr_5,17Networks_LH_VisCent_ExStr_5,left
7,LH_VisPeri_ExStrInf_1,17Networks_LH_VisPeri_ExStrInf_1,left
8,LH_VisPeri_ExStrInf_2,17Networks_LH_VisPeri_ExStrInf_2,left
9,LH_VisPeri_ExStrInf_3,17Networks_LH_VisPeri_ExStrInf_3,left
10,LH_VisPeri_StriCal_1,17Networks_LH_VisPeri_StriCal_1,left
11,LH_VisPeri_ExStrSup_1,17Networks_LH_VisPeri_ExStrSup_1,left
12,LH_VisPeri_ExStrSup_2,17Networks_LH_VisPeri_ExStrSup_2,left
13,LH_SomMotA_1,17Networks_LH_SomMotA_1,left
14,LH_SomMotA_2,17Networks_LH_SomMotA_2,left
15,LH_SomMotA_3,17Networks_LH_SomMotA_3,left
16,LH_SomMotA_4,17Networks_LH_SomMotA_4,left
17,LH_SomMotA_5,17Networks_LH_SomMotA_5,left
18,LH_SomMotA_6,17Networks_LH_SomMotA_6,left
19,LH_SomMotA_7,17Networks_LH_SomMotA_7,left
20,LH_SomMotA_8,17Networks_LH_SomMotA_8,left
21,LH_SomMotB_Aud_1,17Networks_LH_SomMotB_Aud_1,left
22,LH_SomMotB_Aud_2,17Networks_LH_SomMotB_Aud_2,left
23,LH_SomMotB_S2_1,17Networks_LH_SomMotB_S2_1,left
24,LH_SomMotB_S2_2,17Networks_LH_SomMotB_S2_2,left
25,LH_SomMotB_Aud_3,17Networks_LH_SomMotB_Aud_3,left
26,LH_SomMotB_S2_3,17Networks_LH_SomMotB_S2_3,left
27,LH_SomMotB_Cent_1,17Networks_LH_SomMotB_Cent_1,left
